2026-01-10 16: 51: 10,"3축 값 : 64888, 65288, 17768"
2026-01-10 16: 51: 10,습도: 39.40 %	온도: 21.00 °C
2026-01-10 16: 51: 10,조도센서 값 : 677
2026-01-10 16: 51: 12,"3축 값 : 64800, 65372, 17836"
2026-01-10 16: 51: 12,습도: 40.10 %	온도: 21.00 °C
2026-01-10 16: 51: 12,조도센서 값 : 699
2026-01-10 16: 51: 14,"3축 값 : 64816, 65356, 17812"
2026-01-10 16: 51: 14,습도: 41.40 %	온도: 21.00 °C
2026-01-10 16: 51: 14,조도센서 값 : 624
2026-01-10 16: 51: 16,"3축 값 : 64876, 65288, 17860"
2026-01-10 16: 51: 16,습도: 41.80 %	온도: 21.00 °C
2026-01-10 16: 51: 16,조도센서 값 : 617
2026-01-10 16: 51: 18,"3축 값 : 64860, 65360, 17788"
2026-01-10 16: 51: 18,습도: 42.30 %	온도: 21.10 °C
2026-01-10 16: 51: 18,조도센서 값 : 614
2026-01-10 16: 51: 20,"3축 값 : 64856, 65424, 17820"
2026-01-10 16: 51: 20,습도: 42.20 %	온도: 21.10 °C
2026-01-10 16: 51: 20,조도센서 값 : 1203
2026-01-10 16: 51: 22,"3축 값 : 64808, 65388, 17768"
2026-01-10 16: 51: 22,습도: 42.10 %	온도: 21.10 °C
2026-01-10 16: 51: 22,조도센서 값 : 746
2026-01-10 16: 51: 25,"3축 값 : 64816, 65308, 17720"
2026-01-10 16: 51: 25,습도: 41.70 %	온도: 21.10 °C
2026-01-10 16: 51: 25,조도센서 값 : 833
2026-01-10 16: 51: 27,"3축 값 : 64808, 65324, 17772"
2026-01-10 16: 51: 27,습도: 41.50 %	온도: 21.10 °C
2026-01-10 16: 51: 27,조도센서 값 : 709
2026-01-10 16: 51: 29,"3축 값 : 64904, 65200, 17876"
2026-01-10 16: 51: 29,습도: 40.90 %	온도: 21.10 °C
2026-01-10 16: 51: 29,조도센서 값 : 887
2026-01-10 16: 51: 31,"3축 값 : 64840, 65304, 17884"
2026-01-10 16: 51: 31,습도: 49.60 %	온도: 21.20 °C
2026-01-10 16: 51: 31,조도센서 값 : 817
2026-01-10 16: 51: 33,"3축 값 : 64836, 65488, 17892"
2026-01-10 16: 51: 33,습도: 57.60 %	온도: 21.20 °C
2026-01-10 16: 51: 33,조도센서 값 : 573
2026-01-10 16: 51: 35,"3축 값 : 64708, 65368, 17792"
2026-01-10 16: 51: 35,습도: 63.60 %	온도: 21.40 °C
2026-01-10 16: 51: 35,조도센서 값 : 528
2026-01-10 16: 51: 37,"3축 값 : 64784, 65404, 17748"
2026-01-10 16: 51: 37,습도: 66.80 %	온도: 21.40 °C
2026-01-10 16: 51: 37,조도센서 값 : 591
2026-01-10 16: 51: 40,"3축 값 : 64828, 65224, 17808"
2026-01-10 16: 51: 40,습도: 68.60 %	온도: 21.40 °C
2026-01-10 16: 51: 40,조도센서 값 : 656
2026-01-10 16: 51: 42,"3축 값 : 64868, 65300, 17764"
2026-01-10 16: 51: 42,습도: 69.10 %	온도: 21.50 °C
2026-01-10 16: 51: 42,조도센서 값 : 703
2026-01-10 16: 51: 44,"3축 값 : 64760, 65316, 17856"
2026-01-10 16: 51: 44,습도: 68.50 %	온도: 21.40 °C
2026-01-10 16: 51: 44,조도센서 값 : 734
2026-01-10 16: 51: 46,"3축 값 : 65028, 65152, 17768"
2026-01-10 16: 51: 46,습도: 67.30 %	온도: 21.40 °C
2026-01-10 16: 51: 46,조도센서 값 : 715
2026-01-10 16: 51: 48,"3축 값 : 64860, 65292, 17856"
2026-01-10 16: 51: 48,습도: 65.80 %	온도: 21.40 °C
2026-01-10 16: 51: 48,조도센서 값 : 702
2026-01-10 16: 51: 50,"3축 값 : 64888, 65280, 17820"
2026-01-10 16: 51: 50,습도: 64.00 %	온도: 21.50 °C
2026-01-10 16: 51: 50,조도센서 값 : 685
2026-01-10 16: 51: 52,"3축 값 : 64700, 65396, 17876"
2026-01-10 16: 51: 52,습도: 62.30 %	온도: 21.50 °C
2026-01-10 16: 51: 52,조도센서 값 : 675
2026-01-10 16: 51: 55,"3축 값 : 64968, 65352, 17952"
2026-01-10 16: 51: 55,습도: 60.60 %	온도: 21.40 °C
2026-01-10 16: 51: 55,조도센서 값 : 677
2026-01-10 16: 51: 57,"3축 값 : 64460, 65292, 17672"
2026-01-10 16: 51: 57,습도: 58.80 %	온도: 21.40 °C
2026-01-10 16: 51: 57,조도센서 값 : 661
2026-01-10 16: 51: 59,"3축 값 : 64724, 76, 17796"
2026-01-10 16: 51: 59,습도: 57.10 %	온도: 21.40 °C
2026-01-10 16: 51: 59,조도센서 값 : 725
2026-01-10 16: 52: 01,"3축 값 : 64908, 65216, 17924"
2026-01-10 16: 52: 01,습도: 55.40 %	온도: 21.40 °C
2026-01-10 16: 52: 01,조도센서 값 : 667
2026-01-10 16: 52: 03,"3축 값 : 64812, 65316, 17876"
2026-01-10 16: 52: 03,습도: 53.80 %	온도: 21.40 °C
2026-01-10 16: 52: 03,조도센서 값 : 687
2026-01-10 16: 52: 05,"3축 값 : 64728, 65404, 17780"
2026-01-10 16: 52: 05,습도: 52.50 %	온도: 21.40 °C
2026-01-10 16: 52: 05,조도센서 값 : 704
2026-01-10 16: 52: 07,"3축 값 : 64812, 65380, 17836"
2026-01-10 16: 52: 07,습도: 51.40 %	온도: 21.40 °C
2026-01-10 16: 52: 07,조도센서 값 : 710
2026-01-10 16: 52: 10,"3축 값 : 64712, 65308, 17724"
2026-01-10 16: 52: 10,습도: 50.30 %	온도: 21.40 °C
2026-01-10 16: 52: 10,조도센서 값 : 718
2026-01-10 16: 52: 12,"3축 값 : 64756, 65216, 17796"
2026-01-10 16: 52: 12,습도: 49.30 %	온도: 21.30 °C
2026-01-10 16: 52: 12,조도센서 값 : 691
2026-01-10 16: 52: 14,"3축 값 : 64844, 65372, 17800"
2026-01-10 16: 52: 14,습도: 48.30 %	온도: 21.30 °C
2026-01-10 16: 52: 14,조도센서 값 : 663
2026-01-10 16: 52: 16,"3축 값 : 64596, 65188, 17704"
2026-01-10 16: 52: 16,습도: 47.40 %	온도: 21.40 °C
2026-01-10 16: 52: 16,조도센서 값 : 614
2026-01-10 16: 52: 18,"3축 값 : 64752, 65324, 17520"
2026-01-10 16: 52: 18,습도: 46.60 %	온도: 21.30 °C
2026-01-10 16: 52: 18,조도센서 값 : 566
2026-01-10 16: 52: 20,"3축 값 : 64812, 65304, 17788"
2026-01-10 16: 52: 20,습도: 45.90 %	온도: 21.30 °C
2026-01-10 16: 52: 20,조도센서 값 : 523
2026-01-10 16: 52: 22,"3축 값 : 64640, 108, 17732"
2026-01-10 16: 52: 22,습도: 45.10 %	온도: 21.30 °C
2026-01-10 16: 52: 22,조도센서 값 : 522
2026-01-10 16: 52: 25,"3축 값 : 64924, 65344, 17820"
2026-01-10 16: 52: 25,습도: 44.50 %	온도: 21.30 °C
2026-01-10 16: 52: 25,조도센서 값 : 523
2026-01-10 16: 52: 27,"3축 값 : 64824, 65460, 17768"
2026-01-10 16: 52: 27,습도: 43.90 %	온도: 21.30 °C
2026-01-10 16: 52: 27,조도센서 값 : 578
2026-01-10 16: 52: 29,"3축 값 : 64840, 65296, 17628"
2026-01-10 16: 52: 29,습도: 43.40 %	온도: 21.30 °C
2026-01-10 16: 52: 29,조도센서 값 : 630
2026-01-10 16: 52: 31,"3축 값 : 64840, 65156, 17668"
2026-01-10 16: 52: 31,습도: 42.90 %	온도: 21.30 °C
2026-01-10 16: 52: 31,조도센서 값 : 688
2026-01-10 16: 52: 33,"3축 값 : 64848, 65388, 17832"
2026-01-10 16: 52: 33,습도: 42.50 %	온도: 21.20 °C
2026-01-10 16: 52: 33,조도센서 값 : 733
2026-01-10 16: 52: 35,"3축 값 : 64724, 65168, 17816"
2026-01-10 16: 52: 35,습도: 42.20 %	온도: 21.20 °C
2026-01-10 16: 52: 35,조도센서 값 : 645
2026-01-10 16: 52: 37,"3축 값 : 64536, 65188, 17608"
2026-01-10 16: 52: 37,습도: 41.70 %	온도: 21.30 °C
2026-01-10 16: 52: 37,조도센서 값 : 563
2026-01-10 16: 52: 40,"3축 값 : 64552, 65428, 17668"
2026-01-10 16: 52: 40,습도: 41.30 %	온도: 21.30 °C
2026-01-10 16: 52: 40,조도센서 값 : 511
2026-01-10 16: 52: 42,"3축 값 : 64824, 65328, 17796"
2026-01-10 16: 52: 42,습도: 40.90 %	온도: 21.30 °C
2026-01-10 16: 52: 42,조도센서 값 : 543
2026-01-10 16: 52: 44,"3축 값 : 64712, 65408, 17820"
2026-01-10 16: 52: 44,습도: 40.60 %	온도: 21.20 °C
2026-01-10 16: 52: 44,조도센서 값 : 629
2026-01-10 16: 52: 46,"3축 값 : 64880, 65292, 17852"
2026-01-10 16: 52: 46,습도: 40.20 %	온도: 21.30 °C
2026-01-10 16: 52: 46,조도센서 값 : 681
2026-01-10 16: 52: 48,"3축 값 : 64828, 65236, 17768"
2026-01-10 16: 52: 48,습도: 39.90 %	온도: 21.20 °C
2026-01-10 16: 52: 48,조도센서 값 : 725
2026-01-10 16: 52: 50,"3축 값 : 64832, 65328, 17808"
2026-01-10 16: 52: 50,습도: 39.50 %	온도: 21.20 °C
2026-01-10 16: 52: 50,조도센서 값 : 656
